Time,Day,Event,Truck 1,Truck 2,Tank 1,Tank 2,Tank 3,Tank 4,Active Supply Tank,Waiting Tanks At C,Available Trucks At A,Available Trucks At C
34560,25,TRUCK_RETURN_DEPARTED,IDLE_AT_C|POINT_C|Tank:-,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:3,WAITING_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:2,EMPTY_AT_C|POINT_C|Truck:-,2,1,,
34560,25,TRUCK_RETURN_DEPARTED,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:4,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:3,WAITING_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:2,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:1,2,1,,
34650,25,TRUCK_RETURN_ARRIVED,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:4,IDLE_AT_A|POINT_A|Tank:-,WAITING_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:1,2,1,2,
34650,25,TRUCK_RETURN_ARRIVED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,WAITING_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,2,1,"2,1",
34650,25,TANK_FILL_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,WAITING_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,2,1,"2,1",
34650,25,TANK_FILL_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,WAITING_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,2,1,"2,1",
34710,25,SUPPLY_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,SUPPLYING|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,1,,"2,1",
34770,25,TANK_EMPTY,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,1,,"2,1",
34770,25,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,1,,"2,1",
34770,25,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,1,,"2,1",
35040,25,DISPATCH_READY,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,1,,,
35040,25,TRUCK_DEPARTED,IDLE_AT_A|POINT_A|Tank:-,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:3,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:2,READY_AT_A|POINT_A|Truck:-,1,,,
35040,25,TRUCK_DEPARTED,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:4,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:3,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:2,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:1,1,,,
35130,25,TRUCK_ARRIVED,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:4,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:1,3,,,
35130,25,TRUCK_ARRIVED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,,1
35130,25,TRUCK_RETURN_DEPARTED,IDLE_AT_C|POINT_C|Tank:-,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:2,SUPPLYING|POINT_C|Truck:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:2,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,,1
35190,25,TANK_EMPTY,IDLE_AT_C|POINT_C|Tank:-,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:2,EMPTY_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:2,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,,
35190,25,TRUCK_RETURN_DEPARTED,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:1,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:2,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:1,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:2,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,,
35220,25,TRUCK_RETURN_ARRIVED,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:1,IDLE_AT_A|POINT_A|Tank:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:1,EMPTY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,2,
35220,25,TANK_FILL_STARTED,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:1,IDLE_AT_A|POINT_A|Tank:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:1,FILLING|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,2,
35280,25,TRUCK_RETURN_ARRIVED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,EMPTY_AT_A|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,"2,1",
35280,25,TANK_FILL_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,"2,1",
35340,25,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,FILLING|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,"2,1",
35400,25,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,3,4,"2,1",
35550,25,SUPPLY_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,"2,1",
35610,25,TANK_EMPTY,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,"2,1",
36000,26,WORKDAY_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,4,,,
