Score,Tanks,Truck Heads,Tank Capacity,Tank Duration,Travel Time,Fill Time,Safety Window,Deliveries,Dispatches,Returns,Downtime,Safety Violations,Average Tank Wait,Average Cycle Time,Average Delivery Time,Average Empty Tank Wait
62.97,6,4,520,480,75,120,30,92,97,93,0,0,326.5979381443299,2660.3225806451615,1979.3478260869565,176.1290322580645
62.95,4,5,520,480,105,90,60,101,103,100,0,0,221.79611650485438,1672.65,1071.8316831683169,183.45
62.95,6,4,520,480,90,90,30,92,97,93,0,0,321.340206185567,2660.967741935484,1992.391304347826,183.5483870967742
62.91,4,5,520,480,90,120,60,101,103,100,0,0,233.3009708737864,1672.5,1052.3762376237623,176.1
62.67,4,5,520,480,90,90,60,101,103,100,0,0,242.33009708737865,1671.6,1058.019801980198,190.8
62.64,4,5,520,480,75,120,60,101,103,100,0,0,252.66990291262135,1671.45,1039.7524752475247,183.45
62.54,4,5,520,480,105,120,30,94,97,93,0,0,285.1546391752577,1793.5483870967741,1115.7446808510638,161.29032258064515
62.44,6,4,520,480,75,90,30,92,97,93,0,0,365.25773195876286,2659.6774193548385,1953.9130434782608,190.96774193548387
62.39,4,5,520,480,75,90,60,101,103,100,0,0,291.6990291262136,1670.55,1043.3168316831684,169.35
62.26,4,5,520,480,90,120,30,94,97,93,0,0,304.9484536082474,1792.5806451612902,1102.340425531915,168.70967741935485
62.22,4,5,520,480,105,90,30,94,97,93,0,0,301.54639175257734,1792.9032258064517,1113.8297872340424,176.1290322580645
61.97,4,5,520,480,75,120,30,94,97,93,0,0,326.5979381443299,1791.6129032258063,1087.340425531915,176.1290322580645
61.95,4,5,520,480,90,90,30,94,97,93,0,0,321.340206185567,1791.9354838709678,1100.4255319148936,183.5483870967742
61.44,4,5,520,480,75,90,30,94,97,93,0,0,365.25773195876286,1790.967741935484,1062.4468085106382,190.96774193548387
60.97,5,5,520,480,105,90,60,101,104,100,0,0,219.66346153846155,2079.45,1484.4059405940593,183.45
60.95,5,5,520,480,105,120,60,101,104,100,0,0,236.10576923076923,2080.65,1452.3267326732673,168.75
60.69,5,5,520,480,90,90,60,101,104,100,0,0,240.0,2078.1,1470.5940594059407,190.8
60.67,5,5,520,480,90,120,60,101,104,100,0,0,256.4423076923077,2079.3,1438.5148514851485,176.1
60.56,5,5,520,480,105,120,30,94,98,93,0,0,282.2448979591837,2228.2258064516127,1560.9574468085107,161.29032258064515
60.42,5,5,520,480,75,90,60,101,104,100,0,0,288.8942307692308,2076.75,1459.1584158415842,169.35
60.4,5,5,520,480,75,120,60,101,104,100,0,0,276.77884615384613,2077.95,1424.7029702970297,183.45
60.29,5,5,520,480,90,120,30,94,98,93,0,0,301.83673469387753,2227.0967741935483,1547.5531914893618,168.70967741935485
60.25,5,5,520,480,105,90,30,94,98,93,0,0,298.46938775510205,2227.5806451612902,1559.0425531914893,176.1290322580645
60.01,5,5,520,480,75,120,30,94,98,93,0,0,323.265306122449,2225.967741935484,1532.5531914893618,176.1290322580645
59.98,5,5,520,480,90,90,30,94,98,93,0,0,318.0612244897959,2226.451612903226,1545.6382978723404,183.5483870967742
59.48,5,5,520,480,75,90,30,94,98,93,0,0,361.53061224489795,2225.3225806451615,1507.659574468085,190.96774193548387
58.97,6,5,520,480,105,90,60,100,104,100,0,0,219.66346153846155,2483.7,1896.6,183.45
58.95,6,5,520,480,105,120,60,100,104,100,0,0,236.10576923076923,2484.9,1864.2,168.75
58.69,6,5,520,480,90,90,60,100,104,100,0,0,240.0,2482.2,1882.8,190.8
58.67,6,5,520,480,90,120,60,100,104,100,0,0,256.4423076923077,2483.4,1850.4,176.1
58.56,6,5,520,480,105,120,30,93,98,93,0,0,282.2448979591837,2662.9032258064517,2002.0967741935483,161.29032258064515
58.42,6,5,520,480,75,90,60,100,104,100,0,0,288.8942307692308,2480.7,1871.4,169.35
58.4,6,5,520,480,75,120,60,100,104,100,0,0,276.77884615384613,2481.9,1836.6,183.45
58.29,6,5,520,480,90,120,30,93,98,93,0,0,301.83673469387753,2661.6129032258063,1988.7096774193549,168.70967741935485
58.25,6,5,520,480,105,90,30,93,98,93,0,0,298.46938775510205,2662.2580645161293,2000.1612903225807,176.1290322580645
58.01,6,5,520,480,75,120,30,93,98,93,0,0,323.265306122449,2660.3225806451615,1973.7096774193549,176.1290322580645
57.98,6,5,520,480,90,90,30,93,98,93,0,0,318.0612244897959,2660.967741935484,1986.774193548387,183.5483870967742
57.48,6,5,520,480,75,90,30,93,98,93,0,0,361.53061224489795,2659.6774193548385,1948.5483870967741,190.96774193548387
25.16,5,2,520,480,75,90,60,96,98,98,450,0,458.8775510204082,2137.6530612244896,987.5,524.6938775510204
22.86,5,2,520,480,105,120,60,96,97,97,480,0,370.97938144329896,2158.762886597938,1012.65625,543.4020618556701
22.56,5,2,520,480,90,120,60,96,97,97,480,0,396.8041237113402,2157.5257731958764,997.8125,546.8041237113403
22.27,5,2,520,480,75,120,60,96,97,97,480,0,422.62886597938143,2156.2886597938145,982.96875,550.2061855670103
20.01,6,2,520,480,105,90,60,95,97,97,450,0,403.45360824742266,2584.9484536082473,1078.7368421052631,895.0515463917526
19.72,6,2,520,480,90,90,60,95,97,97,450,0,429.2783505154639,2583.092783505155,1063.8947368421052,898.4536082474227
