Time,Day,Event,Truck,Tank,Truck State,Tank State,Truck Location,Tank Location
17025,13,SUPPLY_STARTED,,4,,SUPPLYING,,POINT_C
17085,13,TANK_EMPTY,,3,,EMPTY_AT_C,,POINT_C
17280,13,WORKDAY_STARTED,,,,,,
17280,13,TRUCK_RETURN_DEPARTED,4,2,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
17280,13,TRUCK_RETURN_DEPARTED,5,3,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
17385,13,TRUCK_RETURN_ARRIVED,4,2,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
17385,13,TRUCK_RETURN_ARRIVED,5,3,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
17385,13,TANK_FILL_STARTED,,2,,FILLING,,POINT_A
17385,13,TANK_FILL_STARTED,,3,,FILLING,,POINT_A
17445,13,SUPPLY_STARTED,,5,,SUPPLYING,,POINT_C
17505,13,TANK_EMPTY,,4,,EMPTY_AT_C,,POINT_C
17505,13,TANK_FILL_COMPLETED,,2,,READY_AT_A,,POINT_A
17505,13,TANK_FILL_COMPLETED,,3,,READY_AT_A,,POINT_A
17505,13,TRUCK_RETURN_DEPARTED,1,4,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
17610,13,TRUCK_RETURN_ARRIVED,1,4,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
17610,13,TANK_FILL_STARTED,,4,,FILLING,,POINT_A
17730,13,TANK_FILL_COMPLETED,,4,,READY_AT_A,,POINT_A
17760,13,DISPATCH_READY,,,,,,
17760,13,TRUCK_DEPARTED,4,2,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
17760,13,TRUCK_DEPARTED,5,3,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
17760,13,TRUCK_DEPARTED,1,4,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
17865,13,SUPPLY_STARTED,,1,,SUPPLYING,,POINT_C
17865,13,TRUCK_ARRIVED,4,2,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
