Time,Day,Event,Truck 1,Truck 2,Truck 3,Truck 4,Truck 5,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,Tank 6,Active Supply Tank,Waiting Tanks At C,Available Trucks At A,Available Trucks At C
21810,16,TRUCK_RETURN_ARRIVED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,WAITING_AT_C|POINT_C|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,3,"4,5,1","5,1","2,3,4"
21810,16,TANK_FILL_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,WAITING_AT_C|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,3,"4,5,1","5,1","2,3,4"
21825,16,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,WAITING_AT_C|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,3,"4,5,1","5,1","2,3,4"
21930,16,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,3,"4,5,1","5,1","2,3,4"
21960,16,DISPATCH_READY,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,3,"4,5,1",,"2,3,4"
21960,16,TRUCK_DEPARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:6,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:5,3,"4,5,1",,"2,3,4"
21960,16,TRUCK_DEPARTED,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:2,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:6,WAITING_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:1,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:5,3,"4,5,1",,"2,3,4"
22065,16,SUPPLY_STARTED,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:2,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:6,WAITING_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:1,SUPPLYING|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:5,4,"5,1",,"2,3,4"
22065,16,TRUCK_ARRIVED,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:2,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,WAITING_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:1,SUPPLYING|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,4,"5,1,6",,"2,3,4,5"
22065,16,TRUCK_ARRIVED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,4,"5,1,6,2",,"2,3,4,5,1"
22125,16,TANK_EMPTY,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,4,"5,1,6,2",,"3,4,5,1"
22125,16,TRUCK_RETURN_DEPARTED,IDLE_AT_C|POINT_C|Tank:-,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:3,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:2,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,4,"5,1,6,2",,"3,4,5,1"
22230,16,TRUCK_RETURN_ARRIVED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,4,"5,1,6,2",2,"3,4,5,1"
22230,16,TANK_FILL_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,FILLING|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,4,"5,1,6,2",2,"3,4,5,1"
22350,16,TANK_FILL_COMPLETED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,4,"5,1,6,2",2,"3,4,5,1"
22485,16,SUPPLY_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,SUPPLYING|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,5,"1,6,2",2,"3,4,5,1"
22545,16,TANK_EMPTY,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,WAITING_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,5,"1,6,2",2,"3,4,5,1"
22905,17,SUPPLY_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2",2,"3,4,5,1"
22965,17,TANK_EMPTY,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2",2,"3,4,5,1"
23040,17,WORKDAY_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,EMPTY_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2",2,"5,1"
23040,17,TRUCK_RETURN_DEPARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:4,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:3,EMPTY_AT_C|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2",2,"5,1"
23040,17,TRUCK_RETURN_DEPARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:4,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:5,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:3,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:4,WAITING_AT_C|POINT_C|Truck:-,1,"6,2",2,"5,1"
23145,17,TRUCK_RETURN_ARRIVED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,DRIVING_TO_A|IN_TRANSIT_TO_A|Tank:5,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,IN_TRANSIT_TO_A|IN_TRANSIT_TO_A|Truck:4,WAITING_AT_C|POINT_C|Truck:-,1,"6,2","2,3","5,1"
23145,17,TRUCK_RETURN_ARRIVED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2","2,3,4","5,1"
23145,17,TANK_FILL_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2","2,3,4","5,1"
23145,17,TANK_FILL_STARTED,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2","2,3,4","5,1"
23220,17,DISPATCH_READY,IDLE_AT_C|POINT_C|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,READY_AT_A|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2","3,4","5,1"
23220,17,TRUCK_DEPARTED,IDLE_AT_C|POINT_C|Tank:-,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:3,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:2,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2","3,4","5,1"
23265,17,TANK_FILL_COMPLETED,IDLE_AT_C|POINT_C|Tank:-,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:3,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_C|POINT_C|Tank:-,SUPPLYING|POINT_C|Truck:-,WAITING_AT_C|POINT_C|Truck:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:2,READY_AT_A|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,WAITING_AT_C|POINT_C|Truck:-,1,"6,2",4,"5,1"
